Base Produit;Catégorie;Prix de Vente;Variants;Stock Total;EAN List;Couleurs;Priority
APPAREIL PHOTO ENFANT MUVIT KIDPIC;ACCESSOIRES;59.99€;1;38;3663111187236;BLEU;MEDIUM
CABLE LUMINEUX MY WAY USB A - LIGNING;ACCESSOIRES;14.99€;1;93;3663111196245;UNIQUE;HIGH
CABLE LUMINEUX MY WAY USB A - USB C;ACCESSOIRES;14.99€;1;190;3663111196221;UNIQUE;HIGH
CABLE LUMINEUX MY WAY USB C - LIGNING;ACCESSOIRES;16.99€;1;200;3663111196252;UNIQUE;HIGH
CABLE LUMINEUX MY WAY USB C - USB C;ACCESSOIRES;16.99€;1;164;3663111196238;UNIQUE;HIGH
CABLE RETRACTABLE MY WAY USB C 3 EN 1 100 W;ACCESSOIRES;19.99€;1;91;3663111196269;UNIQUE;HIGH
CABLE TIGER POWER LITE 6 EN 1 AVEC APPLE WATCH;ACCESSOIRES;29.99€;1;96;3663111196283;UNIQUE;HIGH
CASQUE ANC HIFUTURE TOUR;AUDIO;44.99€;1;109;6972576181350;NOIR;HIGH
CASQUE ANC HIFUTURE TOUR X;AUDIO;69.99€;1;30;6972576182203;NOIR;MEDIUM
CASQUE ANC HIFUTURE TOUR X CHAMPAGNE;AUDIO;69.99€;1;31;6972576182210;UNIQUE;MEDIUM
CASQUE SANS FILS ENFANTS MUVIT CHAT;AUDIO;39.99€;1;19;3663111190502;UNIQUE;LOW
CASQUE SANS FILS ENFANTS MUVIT DRAGON;AUDIO;39.99€;1;22;3663111190519;UNIQUE;MEDIUM
CASQUE SANS FILS ENFANTS MUVIT LAPIN;AUDIO;39.99€;1;24;3663111190496;UNIQUE;MEDIUM
CASQUE SANS FILS ENFANTS MUVIT LICNE;AUDIO;39.99€;1;15;3663111190472;OR;LOW
CASQUE SANS FILS ENFANTS MUVIT PIKA;AUDIO;39.99€;1;21;3663111190489;UNIQUE;MEDIUM
CHARGEUR SANS FILS MY WAY 15W MAGSAFE DONUTS;ACCESSOIRES;24.99€;1;45;3663111183221;UNIQUE;MEDIUM
ECOUTEUR CONDUCTION A AIR MATE;AUDIO;34.99€;2;142;6972576180933, 6972576180940;NOIR, GRIS;HIGH
ECOUTEUR FILLAIRE HIFUTURE HI5 CHAMPAGNE;AUDIO;16.99€;1;61;6972576181626;UNIQUE;HIGH
ECOUTEUR HIFUTURE FLYBUDS 4 ANC;AUDIO;44.99€;1;19;6972576182265;NOIR;LOW
ECOUTEUR HIFUTURE FLYBUDS 4 ANC BEIGE;AUDIO;44.99€;1;22;6972576182296;UNIQUE;MEDIUM
ECOUTEUR HIFUTURE FLYBUDS 4 ANC CHAUD;AUDIO;44.99€;1;20;6972576182289;ROSE;LOW
ECOUTEUR HIFUTURE OLYMBUDS 3;AUDIO;24.99€;2;158;6872576181688, 6972576181695;NOIR, BLANC;HIGH
ECOUTEUR HIFUTURE SONIC AIR;AUDIO;24.99€;2;209;6972576181657, 6972576181664;NOIR, BLANC;HIGH
ECOUTEUR HIFUTURE SONIC AIR CHAMPAGNE;AUDIO;24.99€;1;100;6972576181671;UNIQUE;HIGH
ECOUTEUR HIFUTURE SONIFY;AUDIO;44.99€;1;0;6972576182067;NOIR;OUT_OF_STOCK
ECOUTEUR HIFUTURE SONIFY CHAMPAGNE;AUDIO;44.99€;1;18;6972576182074;UNIQUE;LOW
ECOUTEUR HIFUTURE YAC;AUDIO;59.99€;2;17;6972576181381, 6972576181367;ROSE, BLACK;LOW
ECOUTEUR HIFUTURE YAC BLACK;AUDIO;59.99€;1;3;6972576181374;GOLD;LOW
ENCEINTE HIFUTURE ALTUS;AUDIO;29.99€;3;45;6972576181312, 6972576181336, 6972576181329;NOIR, ROUGE, BLEU;MEDIUM
ENCEINTE HIFUTURE ALTUS CAMO;AUDIO;29.99€;1;0;6972576181510;VERT;OUT_OF_STOCK
ENCEINTE HIFUTURE ASCENDO;AUDIO;54.99€;2;47;6972576181565, 6972576182128;NOIR, ROSE;MEDIUM
ENCEINTE HIFUTURE GRAVITY;AUDIO;89.99€;2;38;6972576181121, 6972576181138;NOIR, BLEU;MEDIUM
